# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 5.00000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
25              	5.05056852e-03	2.52761733e-03	2.52295118e-03	-7.24368323e-03	-1.38154508e-03	-5.86213815e-03	2.24029653e-03	2.33307610e-06	1.17460707e-07	-1.98745763e-10	1.17361334e-07	-1.17560080e-07
26              	5.03100625e-03	2.51837903e-03	2.51262722e-03	-7.38919770e-03	-1.43457923e-03	-5.95461847e-03	2.26001962e-03	2.87590261e-06	1.44096946e-07	-3.99856021e-11	1.44076953e-07	-1.44116939e-07
27              	5.00020095e-03	2.50308606e-03	2.49711489e-03	-7.52221232e-03	-1.47911241e-03	-6.04309991e-03	2.28199375e-03	2.98558246e-06	1.52467071e-07	8.62024928e-11	1.52510172e-07	-1.52423970e-07
28              	4.96624268e-03	2.48591331e-03	2.48032937e-03	-7.63946079e-03	-1.51724139e-03	-6.12221939e-03	2.30248900e-03	2.79196692e-06	1.49550908e-07	2.15632792e-10	1.49658724e-07	-1.49443091e-07
29              	4.93180582e-03	2.46832362e-03	2.46348220e-03	-7.74278088e-03	-1.55172365e-03	-6.19105723e-03	2.31966679e-03	2.42070923e-06	1.41335799e-07	3.31189986e-10	1.41501394e-07	-1.41170204e-07
30              	4.89725065e-03	2.45059805e-03	2.44665260e-03	-7.83597763e-03	-1.58466321e-03	-6.25131442e-03	2.33332561e-03	1.97272665e-06	1.31605506e-07	4.18507653e-10	1.31814760e-07	-1.31396252e-07
31              	4.86234936e-03	2.43269497e-03	2.42965439e-03	-7.92261842e-03	-1.61743822e-03	-6.30518020e-03	2.34387099e-03	1.52029040e-06	1.22257961e-07	5.13792156e-10	1.22514857e-07	-1.22001065e-07
32              	4.82704841e-03	2.41463119e-03	2.41241722e-03	-8.00521389e-03	-1.65087029e-03	-6.35434360e-03	2.35173665e-03	1.10698532e-06	1.13759557e-07	6.41049554e-10	1.14080082e-07	-1.13439032e-07
33              	4.79210621e-03	2.39680563e-03	2.39530058e-03	-8.08498725e-03	-1.68535479e-03	-6.39963246e-03	2.35713883e-03	7.52525267e-07	1.05467006e-07	7.38449611e-10	1.05836231e-07	-1.05097781e-07
34              	4.76036800e-03	2.38064804e-03	2.37971996e-03	-8.15761310e-03	-1.71958410e-03	-6.43802900e-03	2.35922245e-03	4.64041207e-07	9.58878152e-08	8.29556014e-10	9.63025932e-08	-9.54730371e-08
35              	4.73508296e-03	2.36777856e-03	2.36730440e-03	-8.21648325e-03	-1.75117923e-03	-6.46530402e-03	2.35706240e-03	2.37078953e-07	8.40946948e-08	9.17517602e-10	8.45534536e-08	-8.36359360e-08
36              	4.71748477e-03	2.35879950e-03	2.35868527e-03	-8.26009549e-03	-1.77884782e-03	-6.48124766e-03	2.35119992e-03	5.71191483e-08	7.04141488e-08	1.00221144e-09	7.09152545e-08	-6.99130431e-08
37              	4.70700631e-03	2.35341198e-03	2.35359433e-03	-8.29169176e-03	-1.80266721e-03	-6.48902455e-03	2.34317867e-03	-9.11738396e-08	5.57780481e-08	1.11517978e-09	5.63356379e-08	-5.52204582e-08
38              	4.70226766e-03	2.35091708e-03	2.35135058e-03	-8.31608568e-03	-1.82355104e-03	-6.49253463e-03	2.33449179e-03	-2.16752129e-07	4.11366216e-08	1.21639645e-09	4.17448198e-08	-4.05284233e-08
